Apr  9 03:00:00 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.200, lip=192.0.2.10, TLS, session=<sess-a-0000>
Apr  9 03:01:02 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.201, lip=192.0.2.10, TLS, session=<sess-a-0001>
Apr  9 03:02:04 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.202, lip=192.0.2.10, TLS, session=<sess-a-0002>
Apr  9 03:03:06 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.203, lip=192.0.2.10, TLS, session=<sess-a-0003>
Apr  9 03:04:08 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.204, lip=192.0.2.10, TLS, session=<sess-a-0004>
Apr  9 03:05:10 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.205, lip=192.0.2.10, TLS, session=<sess-a-0005>
Apr  9 03:06:12 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.206, lip=192.0.2.10, TLS, session=<sess-a-0006>
Apr  9 03:07:14 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.207, lip=192.0.2.10, TLS, session=<sess-a-0007>
Apr  9 03:08:16 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.208, lip=192.0.2.10, TLS, session=<sess-a-0008>
Apr  9 03:09:18 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.209, lip=192.0.2.10, TLS, session=<sess-a-0009>
Apr  9 03:10:20 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.210, lip=192.0.2.10, TLS, session=<sess-a-0010>
