Apr  8 17:00:00 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.10, lip=192.0.2.11, TLS, session=<sess-b-0000>
Apr  8 17:01:03 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.11, lip=192.0.2.11, TLS, session=<sess-b-0001>
Apr  8 17:02:06 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.12, lip=192.0.2.11, TLS, session=<sess-b-0002>
Apr  8 17:03:09 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.13, lip=192.0.2.11, TLS, session=<sess-b-0003>
Apr  8 17:04:12 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.14, lip=192.0.2.11, TLS, session=<sess-b-0004>
Apr  8 17:05:15 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.15, lip=192.0.2.11, TLS, session=<sess-b-0005>
Apr  8 17:06:18 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.16, lip=192.0.2.11, TLS, session=<sess-b-0006>
Apr  8 17:07:21 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.17, lip=192.0.2.11, TLS, session=<sess-b-0007>
Apr  8 17:08:24 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.18, lip=192.0.2.11, TLS, session=<sess-b-0008>
Apr  8 17:09:27 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.19, lip=192.0.2.11, TLS, session=<sess-b-0009>
Apr  8 17:10:30 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.20, lip=192.0.2.11, TLS, session=<sess-b-0010>
