tag,asset_downloads
v1.0.0,13
v1.0.1,21
v1.0.10,0
v1.0.11,7
v1.0.12,14
v1.0.13,7
v1.0.14,0
v1.0.15,7
v1.0.16,0
v1.0.17,7
v1.0.18,7
v1.0.2,32
v1.0.20,9
v1.0.21,0
v1.0.22,0
v1.0.23,0
v1.0.24,0
v1.0.25,1
v1.0.26,0
v1.0.27,12
v1.0.28,24
v1.0.29,30
v1.0.3,18
v1.0.30,0
v1.0.31,9
v1.0.32,0
v1.0.33,6
v1.0.4,24
v1.0.5,7
v1.0.6,7
v1.0.7,7
v1.0.8,7
v1.0.9,0
v1.1.0,6
v1.1.1,6
v1.10.0,12
v1.100.4,17
v1.101.0,39
v1.102.0,14
v1.103.0,15
v1.104.0,19
v1.106.0,955
v1.107.0,33
v1.107.1,32
v1.107.2,44
v1.108.0,34
v1.109.0,14
v1.11.0,0
v1.110.0,14
v1.111.0,16
v1.112.0,27
v1.112.1,27
v1.112.2,39
v1.113.0,28
v1.114.0,16
v1.115.0,22
v1.116.0,14
v1.117.0,14
v1.118.0,14
v1.119.0,14
v1.12.0,8
v1.12.1,0
v1.12.10,14
v1.12.11,6
v1.12.2,0
v1.12.3,11
v1.12.4,10
v1.12.5,0
v1.12.6,0
v1.12.7,8
v1.12.8,2
v1.12.9,6
v1.120.0,21
v1.121.0,33
v1.122.0,14
v1.123.0,22
v1.124.0,14
v1.124.1,14
v1.125.0,23
v1.126.0,20
v1.126.1,52
v1.126.2,14
v1.127.0,14
v1.128.0,24
v1.129.0,19
v1.13.0,0
v1.13.1,0
v1.13.10,12
v1.13.11,0
v1.13.12,0
v1.13.13,0
v1.13.14,6
v1.13.2,0
v1.13.3,14
v1.13.4,0
v1.13.5,0
v1.13.6,0
v1.13.7,10
v1.13.8,16
v1.13.9,14
v1.131.0,18
v1.131.1,16
v1.131.2,16
v1.131.3,33
v1.131.4,42
v1.132.0,16
v1.133.0,19
v1.134.0,17
v1.135.0,14
v1.136.0,16
v1.136.1,16
v1.137.0,15
v1.138.0,14
v1.139.0,14
v1.139.1,18
v1.139.2,16
v1.14.0,1
v1.14.1,0
v1.140.0,33
v1.141.0,15
v1.142.0,29
v1.143.0,17
v1.143.1,15
v1.144.0,18
v1.145.0,15
v1.146.0,15
v1.147.0,15
v1.148.0,19
v1.149.0,30
v1.15.0,6
v1.15.1,0
v1.150.0,29
v1.150.1,35
v1.151.0,15
v1.152.0,18
v1.153.0,15
v1.154.0,18
v1.155.0,15
v1.156.0,21
v1.157.0,18
v1.158.0,20
v1.159.0,37
v1.16.0,7
v1.16.1,44
v1.16.3,18
v1.16.5,2
v1.160.0,39
v1.161.0,18
v1.162.0,16
v1.163.0,18
v1.164.0,21
v1.165.0,15
v1.166.0,30
v1.167.0,19
v1.168.0,13
v1.169.0,11
v1.17.0,5
v1.17.1,27
v1.17.2,18
v1.17.5,15
v1.17.6,7
v1.17.7,13
v1.170.0,19
v1.171.0,16
v1.172.0,13
v1.173.0,14
v1.174.0,30
v1.175.0,11
v1.176.0,11
v1.177.0,13
v1.178.0,11
v1.179.0,51
v1.18.0,27
v1.18.1,32
v1.18.10,24
v1.18.2,22
v1.18.3,7
v1.18.4,26
v1.18.5,23
v1.18.6,32
v1.180.0,12
v1.181.0,11
v1.182.0,11
v1.183.0,12
v1.184.0,16
v1.185.0,13
